requirement_id,category,requirement,implementation,test,evidence,status
P13-T01,task,"实现实时 Paper 订单与成交模型",src/aegisquant/runtime/paper.py,tests/runtime/test_paper.py,reports/runtime/P13_PAPER_EVIDENCE.json,verified
P13-T02,task,"实现公共行情和可选只读账户的 Shadow 模式",src/aegisquant/runtime/shadow.py,tests/runtime/test_shadow.py,reports/runtime/P13_SHADOW_EVIDENCE.json,verified
P13-T03,task,"统一历史回放、Paper 和 Shadow 策略语义",src/aegisquant/runtime/runner.py,tests/replay/test_p13_historical_runtime.py,reports/runtime/P13_SEMANTIC_COMPARISON.json,verified
P13-T04,task,"分析预测、目标、订单、可成交和成交价格差异",src/aegisquant/runtime/comparison.py,tests/runtime/test_comparison.py,reports/runtime/P13_EXECUTION_ERROR_ANALYSIS.json,verified
P13-T05,task,"实现运行守护、检查点和自动恢复",src/aegisquant/runtime/supervisor.py,tests/runtime/test_supervisor.py,reports/runtime/P13_STABILITY_EVIDENCE.json,verified
P13-T06,task,"运行历史重大事件形态回放",src/aegisquant/runtime/replay.py,tests/replay/test_p13_historical_runtime.py,reports/runtime/P13_HISTORICAL_REPLAY.json,verified
P13-T07,task,"注入网络、数据库、模型、数据源、时钟和进程故障",src/aegisquant/runtime/chaos.py,tests/chaos/test_p13_runtime_failures.py,reports/runtime/P13_CHAOS_EVIDENCE.json,verified
P13-T08,task,"验证熔断器、Runbook 和告警",src/aegisquant/runtime/incidents.py,tests/runtime/test_incidents.py,reports/runtime/P13_INCIDENT_DRILLS.json,verified
P13-T09,task,"验证账本、Read Model 输入和每日对账",src/aegisquant/runtime/reconciliation.py,tests/integration/test_p13_runtime_e2e.py,reports/runtime/P13_RECONCILIATION_EVIDENCE.json,verified
P13-T10,task,"形成候选策略 Paper/Shadow Scorecard",src/aegisquant/runtime/comparison.py,tests/runtime/test_comparison.py,reports/runtime/P13_SCORECARD.json,verified
P13-T11,task,"定义 Testnet 与真实市场差异且不使用 Testnet PnL",src/aegisquant/runtime/models.py,tests/security/test_p13_shadow_read_only.py,reports/runtime/P13_MARKET_MODE_LIMITATIONS.json,verified
P13-T12,task,"建立稳定性测试资格并运行加速逻辑时长验证",src/aegisquant/runtime/supervisor.py,tests/performance/test_p13_stability.py,reports/runtime/P13_STABILITY_EVIDENCE.json,planned_acceptance_deferred
P13-A01,acceptance,"完整链路连续运行且内存无持续泄漏",src/aegisquant/runtime/supervisor.py,tests/performance/test_p13_stability.py,reports/runtime/P13_STABILITY_EVIDENCE.json,in_progress
P13-A02,acceptance,"重启后状态恢复且无重复订单或账本",src/aegisquant/runtime/paper.py,tests/integration/test_p13_runtime_e2e.py,reports/runtime/P13_RECOVERY_EVIDENCE.json,in_progress
P13-A03,acceptance,"数据陈旧和模型失败触发正确降级",src/aegisquant/runtime/supervisor.py,tests/chaos/test_p13_runtime_failures.py,reports/runtime/P13_CHAOS_EVIDENCE.json,in_progress
P13-A04,acceptance,"Paper 成交误差有量化报告",src/aegisquant/runtime/comparison.py,tests/runtime/test_comparison.py,reports/runtime/P13_EXECUTION_ERROR_ANALYSIS.json,in_progress
P13-A05,acceptance,"Shadow 无任何写交易权限",src/aegisquant/runtime/shadow.py,tests/security/test_p13_shadow_read_only.py,reports/runtime/P13_SHADOW_EVIDENCE.json,in_progress
P13-A06,acceptance,"所有 SEV0/SEV1 演练有时间线和恢复证据",src/aegisquant/runtime/incidents.py,tests/chaos/test_p13_runtime_failures.py,reports/runtime/P13_INCIDENT_DRILLS.json,in_progress
