requirement_id,category,requirement,implementation,test,evidence,status
P15-T01,task,"完成 /live",apps/web/app/live/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T02,task,"完成 /performance",apps/web/app/performance/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T03,task,"完成 /execution 和 K 线交易回放",apps/web/app/execution/; apps/web/src/components/charts/chart-suite.tsx,apps/web/e2e/dashboard.spec.ts,reports/web/P15_TRACE_EVIDENCE.json,verified
P15-T04,task,"完成 /strategies",apps/web/app/strategies/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T05,task,"完成 /models",apps/web/app/models/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T06,task,"完成 /market",apps/web/app/market/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T07,task,"完成 intelligence 雷达、证据、叙事、来源、回放和告警",apps/web/app/intelligence/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T08,task,"完成 /risk",apps/web/app/risk/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T09,task,"完成 /research",apps/web/app/research/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T10,task,"完成 /research/intelligence",apps/web/app/research/intelligence/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T11,task,"完成 /data",apps/web/app/data/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T12,task,"完成 /incidents",apps/web/app/incidents/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T13,task,"完成 /system",apps/web/app/system/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,verified
P15-T14,task,"完成 /settings 安全范围",apps/web/app/settings/; apps/web/src/components/preferences.tsx,apps/web/tests/global-controls.test.tsx,reports/web/P15_INTERACTION_EVIDENCE.json,verified
P15-T15,task,"实现全局筛选、命令面板、导出和保存布局",apps/web/src/components/global-controls.tsx,apps/web/tests/global-controls.test.tsx,reports/web/P15_INTERACTION_EVIDENCE.json,verified
P15-T16,task,"实现信号到事件、模型、风险、订单、成交和账本单击下钻",src/aegisquant/readmodels/; apps/web/app/execution/orders/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_TRACE_EVIDENCE.json,verified
P15-T17,task,"实现服务端下采样、虚拟表格和缓存",src/aegisquant/api/downsampling.py; apps/web/src/components/common.tsx,tests/p15/test_downsampling.py,reports/performance/P15_PERFORMANCE_EVIDENCE.json,verified
P15-T18,task,"实现中文文案、tooltip、指标公式和时区",apps/web/src/components/workspace-page.tsx,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ACCESSIBILITY_EVIDENCE.json,verified
P15-T19,task,"完成 WCAG 2.2 AA 审计和键盘流程",apps/web/app/; apps/web/src/components/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ACCESSIBILITY_EVIDENCE.json,verified
P15-T20,task,"测试桌面主流浏览器和窄屏状态",apps/web/playwright.config.ts,apps/web/e2e/dashboard.spec.ts,reports/web/P15_BROWSER_EVIDENCE.json,verified
P15-T21,task,"建立产品级视觉回归和性能预算",apps/web/e2e/; scripts/generate_p15_evidence.py,apps/web/e2e/dashboard.spec.ts,reports/performance/P15_PERFORMANCE_EVIDENCE.json,verified
P15-A01,acceptance,"5 秒内判断权益、当日 PnL、风险、数据和对账状态",apps/web/app/overview/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_USABILITY_EVIDENCE.json,in_progress
P15-A02,acceptance,"任意订单可追溯完整决策链",src/aegisquant/api/routes.py; apps/web/app/execution/orders/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_TRACE_EVIDENCE.json,in_progress
P15-A03,acceptance,"任意 PnL 指标可解释公式、来源和截至时间",apps/web/app/performance/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_USABILITY_EVIDENCE.json,in_progress
P15-A04,acceptance,"大表和长时序不冻结浏览器",src/aegisquant/api/downsampling.py; apps/web/src/components/common.tsx,tests/p15/test_downsampling.py,reports/performance/P15_PERFORMANCE_EVIDENCE.json,in_progress
P15-A05,acceptance,"红绿切换不改变语义文本或可访问性",apps/web/src/components/preferences.tsx,apps/web/tests/preferences.test.tsx,reports/web/P15_ACCESSIBILITY_EVIDENCE.json,in_progress
P15-A06,acceptance,"默认无交易、Live 解锁或风险上限修改入口",src/aegisquant/api/; apps/web/,tests/security/test_p15_workbench_read_only.py,reports/security/P15_WEB_SAFETY_EVIDENCE.json,in_progress
P15-A07,acceptance,"页面错误不会影响交易服务",apps/web/app/error.tsx; src/aegisquant/api/app.py,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,in_progress
