requirement_id,category,requirement,implementation,test,evidence,status
P09-T01,task,"实现 Source Manifest、Artifact、Rights、Evidence Span 数据模型",src/aegisquant/intelligence/static_analysis/models.py,tests/intelligence/test_knowledge_models.py,reports/data/P09_RIGHTS_EVIDENCE.json,verified
P09-T02,task,"实现公开索引候选发现且不绕过登录或地区限制",src/aegisquant/intelligence/static_analysis/discovery.py,tests/intelligence/test_discovery.py,reports/intelligence/SOURCE_CATALOG.parquet,verified
P09-T03,task,"实现聚宽及其他平台手工导出包 importer",src/aegisquant/intelligence/static_analysis/archive.py,tests/intelligence/test_safe_importer.py,reports/data/P09_IMPORT_EVIDENCE.json,verified
P09-T04,task,"可选浏览器扩展必须前台单页、无秘密和无远程上报",reports/phases/P09/PLAN.md,tests/p09/test_phase_evidence.py,reports/phases/P09/RISKS.md,verified
P09-T05,task,"安全归档 HTML、Markdown、Notebook、Python 和附件",src/aegisquant/intelligence/static_analysis/archive.py,tests/intelligence/test_safe_importer.py,reports/data/P09_IMPORT_EVIDENCE.json,verified
P09-T06,task,"实现 AST 静态分析和危险代码检测",src/aegisquant/intelligence/static_analysis/scanner.py,tests/security/static_analysis/test_python_scanner.py,reports/data/P09_STATIC_ANALYSIS_EVIDENCE.json,verified
P09-T07,task,"识别平台 API、参数、调度、数据、时间、成交、调仓和风控语义",src/aegisquant/intelligence/static_analysis/scanner.py,tests/security/static_analysis/test_python_scanner.py,reports/intelligence/static_analysis/,verified
P09-T08,task,"实现 Strategy IR 双通道抽取并核对证据",src/aegisquant/intelligence/static_analysis/extraction.py,tests/intelligence/test_strategy_ir.py,reports/data/P09_STRATEGY_IR_EVIDENCE.json,verified
P09-T09,task,"实现未来函数、偏差、成本、成交和欺骗性结果审计",src/aegisquant/intelligence/static_analysis/audit.py,tests/intelligence/test_strategy_audit.py,reports/intelligence/FAILURE_TAXONOMY.md,verified
P09-T10,task,"实现 Alpha 原语和七层去重",src/aegisquant/intelligence/static_analysis/dedupe.py,tests/intelligence/test_dedupe.py,reports/data/P09_DEDUPE_EVIDENCE.json,verified
P09-T11,task,"实现传统市场到加密市场的迁移记录",src/aegisquant/intelligence/static_analysis/translation.py,tests/intelligence/test_translation.py,reports/intelligence/CRYPTO_TRANSLATION_QUEUE.md,verified
P09-T12,task,"从零重写至少三个简单候选并统一回测",src/aegisquant/intelligence/static_analysis/translation.py,tests/intelligence/test_translation.py,reports/data/P09_TRANSLATION_EVIDENCE.json,verified
P09-T13,task,"完成八个指定框架及 AI-Trader 的评审",reports/intelligence/FRAMEWORK_REVIEW.md,tests/p09/test_phase_evidence.py,reports/data/P09_FRAMEWORK_REVIEW_EVIDENCE.json,verified
P09-T14,task,"生成聚宽及其他平台后续资料请求队列",reports/intelligence/SOURCE_REQUEST_QUEUE.md,tests/p09/test_phase_evidence.py,reports/intelligence/SOURCE_REQUEST_QUEUE.md,verified
P09-A01,acceptance,"未经静态审计的源码无法执行",src/aegisquant/intelligence/static_analysis/,tests/security/static_analysis/,reports/data/P09_STATIC_ANALYSIS_EVIDENCE.json,in_progress
P09-A02,acceptance,"每个结构化规则链接证据或明确标记缺失",src/aegisquant/intelligence/static_analysis/extraction.py,tests/intelligence/test_strategy_ir.py,reports/data/P09_STRATEGY_IR_EVIDENCE.json,in_progress
P09-A03,acceptance,"相同策略复制和改名可被聚类",src/aegisquant/intelligence/static_analysis/dedupe.py,tests/intelligence/test_dedupe.py,reports/data/P09_DEDUPE_EVIDENCE.json,in_progress
P09-A04,acceptance,"迁移策略有新的实现和新的统一验证结果",src/aegisquant/intelligence/static_analysis/translation.py,tests/intelligence/test_translation.py,reports/data/P09_TRANSLATION_EVIDENCE.json,in_progress
P09-A05,acceptance,"权利未知内容不进入公开工件",src/aegisquant/intelligence/static_analysis/models.py,tests/intelligence/test_knowledge_models.py,reports/data/P09_RIGHTS_EVIDENCE.json,in_progress
P09-A06,acceptance,"浏览器扩展无后台抓取、秘密导出或远程上报",reports/phases/P09/PLAN.md,tests/p09/test_phase_evidence.py,reports/phases/P09/RISKS.md,in_progress
