requirement_id,category,requirement,implementation,test,evidence,status
P06-T01,task,Vector Backtest 接口和基准策略,src/aegisquant/backtest/vector.py,tests/p06/test_vector_event_consistency.py,reports/data/P06_BACKTEST_EVIDENCE.json,verified
P06-T02,task,NautilusTrader 稳定契约或等价事件引擎,src/aegisquant/backtest/engine.py; src/aegisquant/backtest/nautilus_contract.py,tests/contract/test_p06_nautilus_contract.py,reports/data/P06_NAUTILUS_CONTRACT.json,verified
P06-T03,task,统一订单成交帐本和指标输出,src/aegisquant/backtest/models.py; src/aegisquant/backtest/artifacts.py,tests/p06/test_artifacts.py,reports/backtests/p06-golden/run_manifest.json,verified
P06-T04,task,历史费用 funding borrow spread slippage impact,src/aegisquant/backtest/costs.py,tests/p06/test_costs_margin.py,reports/data/P06_GOLDEN_RESULTS.json,verified
P06-T05,task,bar trade L2 多级成交模型,src/aegisquant/backtest/fills.py,tests/p06/test_fills_failures.py,reports/data/P06_GOLDEN_RESULTS.json,verified
P06-T06,task,延迟部分成交撤单竞态和 unknown state,src/aegisquant/backtest/engine.py,tests/p06/test_fills_failures.py,reports/data/P06_FAILURE_EVIDENCE.json,verified
P06-T07,task,margin leverage bracket mark 和 liquidation,src/aegisquant/backtest/margin.py,tests/p06/test_costs_margin.py,reports/data/P06_GOLDEN_RESULTS.json,verified
P06-T08,task,多腿和跨所非原子执行,src/aegisquant/backtest/multileg.py,tests/p06/test_fills_failures.py,reports/data/P06_FAILURE_EVIDENCE.json,verified
P06-T09,task,历史 instrument rules,src/aegisquant/backtest/rules.py,tests/p06/test_rules_stress.py,reports/data/P06_RULES_EVIDENCE.json,verified
P06-T10,task,性能交易指标和回测工件,src/aegisquant/backtest/artifacts.py; src/aegisquant/backtest/metrics.py,tests/p06/test_artifacts.py,reports/backtests/p06-golden/metrics.json,verified
P06-T11,task,vector event 一致性测试,tests/p06/test_vector_event_consistency.py,tests/p06/test_vector_event_consistency.py,reports/data/P06_CONSISTENCY_EVIDENCE.json,verified
P06-T12,task,成本延迟流动性和故障压力场景,src/aegisquant/backtest/stress.py,tests/p06/test_rules_stress.py,reports/data/P06_STRESS_EVIDENCE.json,verified
P06-T13,task,事件吞吐内存和稳定性基准,scripts/run_p06_benchmark.py,tests/performance/test_backtest_performance.py,reports/performance/P06_BACKTEST_BENCHMARK.json,verified
P06-A01,acceptance,零成本即时成交双引擎一致,src/aegisquant/backtest/vector.py,tests/p06/test_vector_event_consistency.py,reports/data/P06_CONSISTENCY_EVIDENCE.json,in_progress
P06-A02,acceptance,成本和资金费率通过手算 Golden Case,src/aegisquant/backtest/costs.py,tests/p06/test_costs_margin.py,reports/data/P06_GOLDEN_RESULTS.json,in_progress
P06-A03,acceptance,event replay 多次结果相同,src/aegisquant/backtest/engine.py,tests/p06/test_vector_event_consistency.py,reports/data/P06_REPLAY_EVIDENCE.json,in_progress
P06-A04,acceptance,历史规则变化影响订单合法性,src/aegisquant/backtest/rules.py,tests/p06/test_rules_stress.py,reports/data/P06_RULES_EVIDENCE.json,in_progress
P06-A05,acceptance,故障和部分成交场景保持账本平衡,src/aegisquant/backtest/engine.py,tests/p06/test_fills_failures.py,reports/data/P06_FAILURE_EVIDENCE.json,in_progress
P06-A06,acceptance,回测输出包含订单成交帐本和复现命令,src/aegisquant/backtest/artifacts.py,tests/p06/test_artifacts.py,reports/backtests/p06-golden/reproduction_command.txt,in_progress
