requirement_id,category,requirement,implementation,test,evidence,status
P17-T01,task,"生成最小试用数据需求和预算",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/TRIAL_REQUESTS.json,verified
P17-T02,task,"比较 Tardis 与 Kaiko并允许选择一家、都不选或延后",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/PROVIDER_DECISIONS.json,verified
P17-T03,task,"评估 CoinGlass 衍生品聚合",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/PROVIDER_SCORECARD.json,verified
P17-T04,task,"比较 CryptoQuant 与 Glassnode并允许选择一家、都不选或延后",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/PROVIDER_DECISIONS.json,verified
P17-T05,task,"仅在跨资产或 CME 假设存在时评估 Databento",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/CONDITIONAL_CANDIDATES.json,verified
P17-T06,task,"新闻数据按个人级与机构级两档且每档最多保留一个",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/PROVIDER_DECISIONS.json,verified
P17-T07,task,"评估 X API 查询、流式、历史覆盖与成本硬上限",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/TRIAL_REQUESTS.json,verified
P17-T08,task,"评分许可、覆盖、延迟、修订删除、缺口、语言、价格和运维",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/PROVIDER_SCORECARD.json,verified
P17-T09,task,"所有聚合数据与官方数据交叉核验",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/OFFICIAL_CROSSCHECK.json,verified
P17-T10,task,"相同研究预算下执行 Baseline 与 Baseline+Source 消融",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/ABLATION_EVIDENCE.json,verified
P17-T11,task,"新闻源额外比较 recall、false alert、lead time、重复率和风险覆盖",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/NEWS_BAKEOFF_EVIDENCE.json,verified
P17-T12,task,"分析 feature importance 之外的真实净交易增量",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/ABLATION_EVIDENCE.json,verified
P17-T13,task,"分析 Provider 停止服务时的免费基线降级",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/DEGRADATION_EVIDENCE.json,verified
P17-T14,task,"输出采购、拒绝或延后建议且不受沉没成本影响",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/PROCUREMENT_RECOMMENDATION.md,verified
P17-T15,task,"只有获批数据源进入 Provider Registry approved",src/aegisquant/research/provider_bakeoff/; data/catalogs/provider_registry.yaml,tests/research/provider_bakeoff/; tests/p17/,reports/data/provider_bakeoff/REGISTRY_GATE_EVIDENCE.json,verified
P17-A01,acceptance,"选择基于 OOS、成本、许可和运维而非营销材料",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/PROVIDER_DECISIONS.json,in_progress
P17-A02,acceptance,"同类首期最多保留一家长期主源",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/REGISTRY_GATE_EVIDENCE.json,in_progress
P17-A03,acceptance,"负结果完整保留",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/NEGATIVE_RESULTS.json,in_progress
P17-A04,acceptance,"未购买 Provider 不成为系统硬依赖",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/DEGRADATION_EVIDENCE.json,in_progress
P17-A05,acceptance,"任何第三方聚合不替代官方交易事实",src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/OFFICIAL_CROSSCHECK.json,in_progress
